publish date,# users who logged feeling well,# users who logged feeling unwell,% users who logged feeling unwell
09/07/22,206486,19526,8.64
10/07/22,183103,16771,8.39
11/07/22,181384,16107,8.16
12/07/22,185847,16469,8.14
13/07/22,184139,16424,8.19
14/07/22,182069,15685,7.93
15/07/22,181811,16187,8.18
16/07/22,190314,17214,8.29
17/07/22,174220,14605,7.73
18/07/22,178491,14289,7.41
19/07/22,185814,13475,6.76
20/07/22,186649,12683,6.36
21/07/22,181269,12199,6.31
22/07/22,181284,12789,6.59
23/07/22,186307,13364,6.69
24/07/22,173242,12104,6.53
25/07/22,177257,12106,6.39
26/07/22,182375,12145,6.24
27/07/22,187216,12384,6.2
28/07/22,168915,11005,6.12
29/07/22,156248,10264,6.16
30/07/22,181151,10846,5.65
31/07/22,173422,10435,5.68
01/08/22,176072,10197,5.47
02/08/22,177643,9880,5.27
03/08/22,178821,10579,5.59
04/08/22,176933,9866,5.28
05/08/22,157254,7888,4.78
06/08/22,144604,3457,2.33
07/08/22,164483,3038,1.81
08/08/22,168577,3010,1.75
09/08/22,173073,5753,3.22
10/08/22,171355,7696,4.3
11/08/22,171447,7857,4.38
