date - 3,% positive
31/10/20,0.75
08/11/20,0.64
15/11/20,0.87
22/11/20,0.78
29/11/20,0.82
06/12/20,1
12/12/20,0.71
16/12/20,0.69
27/12/20,0.87
03/01/21,1.06
10/01/21,0.99
17/01/21,0.92
24/01/21,0.88
31/01/21,0.67
06/02/21,0.55
13/02/21,0.45
21/02/21,0.3
28/02/21,0.31
07/03/21,0.37
14/03/21,0.41
21/03/21,0.32
28/03/21,0.25
04/04/21,0.2
10/04/21,0.18
18/04/21,0.16
26/04/21,0.13
02/05/21,0.08
09/05/21,0.05
16/05/21,0.16
23/05/21,0.15
30/05/21,0.18
06/06/21,0.17
13/06/21,0.46
20/06/21,0.68
27/06/21,1.01
04/07/21,1.14
11/07/21,1.24
18/07/21,0.94
25/07/21,0.82
01/08/21,0.53
08/08/21,0.49
14/08/21,0.7
22/08/21,1.32
28/08/21,2.23
05/09/21,2.29
12/09/21,2.28
19/09/21,1.85
26/09/21,1.61
03/10/21,1.26
10/10/21,1.14
17/10/21,1.36
24/10/21,1.25
31/10/21,1.18
07/11/21,1.06
14/11/21,1.44
21/11/21,1.58
26/11/21,1.24
05/12/21,1.27
10/12/21,1.45
13/12/21,1.5
17/12/21,2.57
25/12/21,4.52
01/01/22,5.65
09/01/22,4.49
16/01/22,3.11
23/01/22,3.52
30/01/22,4.01
07/02/22,4.17
14/02/22,4.57
20/02/22,5.33
28/02/22,5.7
06/03/22,7.15
14/03/22,9
20/03/22,8.57
28/03/22,7.54
03/04/22,5.98
10/04/22,5.35
17/04/22,4.14
25/04/22,3.55
01/05/22,3.01
07/05/22,2.32
15/05/22,2.57
22/05/22,2.01
27/05/22,2.36
04/06/22,3.36
11/06/22,4.76
18/06/22,5.47
24/06/22,5.94
01/07/22,6.34
08/07/22,6.48
14/07/22,5.17
20/07/22,4.95
02/08/22,3.12
10/08/22,2.56
17/08/22,1.82
22/08/22,1.98
30/08/22,2.16
07/09/22,1.88
14/09/22,2.22
