date,covid_in_pop
2020-07-01,1240.773448435825
2020-07-02,1257.332472222282
2020-07-03,1501.5056669052271
2020-07-04,1334.4391706317756
2020-07-05,1294.8508405319265
2020-07-06,1473.8847897753212
2020-07-07,1753.5798441583493
2020-07-08,1770.8680346386527
2020-07-09,1675.627770335232
2020-07-10,1737.0017276508768
2020-07-11,1830.6634031050726
2020-07-12,1960.0676524840926
2020-07-13,1948.7287694413826
2020-07-14,1934.2964229243855
2020-07-15,1950.012806171721
2020-07-16,1728.5891626803827
2020-07-17,1959.6526738778127
2020-07-18,1917.0012883559964
2020-07-19,1897.9122493396999
2020-07-20,2113.617970000337
2020-07-21,1964.5873017074305
2020-07-22,1898.8785770835389
2020-07-23,1841.5678352035188
2020-07-24,1978.3420857177184
2020-07-25,1877.8021979336756
2020-07-26,1804.315952561576
2020-07-27,1585.1445195998838
2020-07-28,1652.51976709867
2020-07-29,1826.0328486235264
2020-07-30,1735.4940627622211
2020-07-31,1530.891264671389
2020-08-01,1456.6513130071153
2020-08-02,1346.1788293414709
2020-08-03,1411.4398459262081
2020-08-04,1375.788731866827
2020-08-05,1364.5800744910557
2020-08-06,1299.834292178798
2020-08-07,1375.3508322498205
2020-08-08,1353.4318350885292
2020-08-09,1050.211665804428
2020-08-10,1063.0670432691622
2020-08-11,1139.689464907441
2020-08-12,878.4315347482866
2020-08-13,902.1677674114185
2020-08-14,939.3078736241654
2020-08-15,1032.5900948775684
2020-08-16,929.844325418287
2020-08-17,848.2361022442676
2020-08-18,944.7987065266899
2020-08-19,1151.348947623214
2020-08-20,1070.7329560357493
2020-08-21,1103.6654287515028
2020-08-22,1071.9029196390184
2020-08-23,1025.5733381869636
2020-08-24,1129.3923063850063
2020-08-25,1161.9586878564314
2020-08-26,1108.71963906591
2020-08-27,1262.8434969335774
2020-08-28,1390.0275952165762
2020-08-29,1316.935556373045
2020-08-30,1341.5166122762048
2020-08-31,1648.0530297308246
2020-09-01,1666.2705112854944
2020-09-02,1799.4651193141115
2020-09-03,2145.082988133302
2020-09-04,2300.0208153104754
2020-09-05,2571.1785059835693
2020-09-06,2723.421097463052
2020-09-07,2862.573100335573
2020-09-08,3436.6628491185593
2020-09-09,3936.2409770260315
2020-09-10,4590.406374515163
2020-09-11,5018.803518473556
2020-09-12,5667.048114431465
2020-09-13,6484.171146419595
2020-09-14,7006.191423195899
2020-09-15,7645.52550762603
2020-09-16,8369.487500712108
2020-09-17,9357.751275440842
2020-09-18,10202.852676093342
2020-09-19,11376.867900195408
2020-09-20,12560.976505709414
2020-09-21,13290.385166929253
2020-09-22,14461.671811345032
2020-09-23,14871.78265428952
2020-09-24,14990.943444521472
2020-09-25,14838.317503418572
2020-09-26,15287.31570148267
2020-09-27,15578.99379868123
2020-09-28,16542.738154475952
2020-09-29,16407.349003896856
2020-09-30,16142.057588062227
2020-10-01,16245.151697720798
2020-10-02,17071.091367181525
2020-10-03,17973.51276414633
2020-10-04,18485.12373848868
2020-10-05,18715.551948451153
2020-10-06,19389.255874291604
2020-10-07,19817.26260209271
2020-10-08,20842.08949907541
2020-10-09,21020.915830786093
2020-10-10,22163.327787357535
2020-10-11,23460.68252354089
2020-10-12,24741.692221448757
2020-10-13,25562.47011016259
2020-10-14,26798.58715461129
2020-10-15,27506.60972024924
2020-10-16,27722.700060932926
2020-10-17,29156.677505458974
2020-10-18,30064.627810484275
2020-10-19,31336.676850765758
2020-10-20,32062.9434142323
2020-10-21,34012.70953729201
2020-10-22,35101.35375599438
2020-10-23,35801.3203960938
2020-10-24,35703.192084731265
2020-10-25,35953.35105477272
2020-10-26,36176.530826946255
2020-10-27,35905.81002553426
2020-10-28,35431.905973165165
2020-10-29,35415.3224296248
2020-10-30,35306.77955828226
2020-10-31,35232.19124169868
2020-11-01,34937.65911744209
2020-11-02,34086.537735745755
2020-11-03,32484.3095930546
2020-11-04,31646.904035495565
2020-11-05,31510.902773318296
2020-11-06,31112.64059300841
2020-11-07,31493.08592687002
2020-11-08,31579.441974944697
2020-11-09,31915.888643461272
2020-11-10,33073.02800551033
2020-11-11,32979.88985653837
2020-11-12,31941.70204151596
2020-11-13,32480.958410709278
2020-11-14,32358.784825495608
2020-11-15,31950.718913265613
2020-11-16,32420.120349747587
2020-11-17,32481.70773251549
2020-11-18,31344.77198605919
2020-11-19,30611.56212533153
2020-11-20,29128.771253005332
2020-11-21,28136.834762286475
2020-11-22,26134.963562182253
2020-11-23,24170.4011063739
2020-11-24,21757.024493000667
2020-11-25,20521.103363573184
2020-11-26,19497.60194344665
2020-11-27,18274.076371952247
2020-11-28,17011.595810314582
2020-11-29,16230.30836788268
2020-11-30,15816.091997307822
2020-12-01,15126.400921840941
2020-12-02,14457.247639071913
2020-12-03,14175.271543760417
2020-12-04,14104.449969471325
2020-12-05,14310.774601793495
2020-12-06,14410.088458043845
2020-12-07,14683.430200552568
2020-12-08,14705.650488235207
2020-12-09,15190.767498365694
2020-12-10,15411.056079170296
2020-12-11,16753.16046199004
2020-12-12,17821.35583901
2020-12-13,19061.620329641864
2020-12-14,20022.932446774103
2020-12-15,22098.76143534302
2020-12-16,24081.48295278293
2020-12-17,26264.013338407316
2020-12-18,28002.884094717898
2020-12-19,30077.05981530929
2020-12-20,31796.29454472895
2020-12-21,33834.556145603085
2020-12-22,35676.16476343123
2020-12-23,36785.35710273286
2020-12-24,38407.37833772599
2020-12-25,39367.84813594867
2020-12-26,41807.3933827083
2020-12-27,44325.4331133048
2020-12-28,46052.533576164125
2020-12-29,49001.52801221918
2020-12-30,50903.89472759248
2020-12-31,51998.95057328926
2021-01-01,52696.20828632461
2021-01-02,53278.54016799889
2021-01-03,53179.758239318384
2021-01-04,52195.31209861903
2021-01-05,51553.63302726236
2021-01-06,49966.137470539135
2021-01-07,48101.75517665013
2021-01-08,47132.601065209325
2021-01-09,44916.045056805044
2021-01-10,42914.24305117852
2021-01-11,40093.43246592318
2021-01-12,37381.113013730224
2021-01-13,34854.94366050118
2021-01-14,33486.64796709447
2021-01-15,31984.473991772727
2021-01-16,30768.428457001315
2021-01-17,28768.325608656887
2021-01-18,27834.9960786934
2021-01-19,26978.123386038482
2021-01-20,25977.242035439107
2021-01-21,25330.539919738363
2021-01-22,24941.494811079916
2021-01-23,24515.775713284682
2021-01-24,24309.76852288292
2021-01-25,23343.302674129438
2021-01-26,22312.3832044743
2021-01-27,21342.820692464156
2021-01-28,20186.95859509578
2021-01-29,18956.186170552955
2021-01-30,18068.819744290337
2021-01-31,16988.348097188453
2021-02-01,15932.870976844222
2021-02-02,15128.18933059018
2021-02-03,14356.78017881617
2021-02-04,14012.565669741924
2021-02-05,12954.566624743497
